ticket_id,ticket_text,tag
TKT-1000,Why is my bill higher than the plan price listed on your website,Billing
TKT-1001,I changed my mind after purchase can I still get refunded,Refund
TKT-1002,What is your data privacy policy,General Inquiry
TKT-1003,I get a CORS error when trying to use the API,Technical Issue
TKT-1004,I upgraded my plan but do not see new features,Subscription
TKT-1005,I paid but my account still shows as unpaid,Billing
TKT-1006,I need to update my billing address,Billing
TKT-1007,The search function returns no results even for things I know exist,Technical Issue
TKT-1008,My account shows I am on the free plan but I pay for premium,Account Access
TKT-1009,I am trying to log in from a new country and being blocked,Account Access
TKT-1010,The password reset link expired before I could use it,Account Access
TKT-1011,What file formats does your tool support,General Inquiry
TKT-1012,Notifications are not working on my iPhone,Technical Issue
TKT-1013,I was offered a loyalty discount but cannot find how to apply it,Subscription
TKT-1014,The quality was not what was described I want a refund,Refund
TKT-1015,Can I get an itemized receipt for my purchase,Billing
TKT-1016,I want to refund my most recent invoice only,Refund
TKT-1017,Can I pause my subscription instead of cancelling,Subscription
TKT-1018,I deleted my account by mistake can you restore it,Account Access
TKT-1019,The promotion said money back guarantee I want mine,Refund
TKT-1020,I cannot access my account on mobile only desktop works,Account Access
TKT-1021,I want to upgrade my plan to the business tier,Subscription
TKT-1022,I want to gift a subscription to someone,Subscription
TKT-1023,I want a full refund for my purchase last week,Refund
TKT-1024,I was billed for a plan I never signed up for,Billing
TKT-1025,How is my data stored and backed up,General Inquiry
TKT-1026,The app keeps crashing every time I open it,Technical Issue
TKT-1027,I need to cancel a pending payment,Billing
TKT-1028,I want to know what happens to my data if I cancel,Subscription
TKT-1029,I have a feature request where do I submit it,General Inquiry
TKT-1030,The login button does nothing when I click it,Account Access
TKT-1031,I need the refund in the form of account credit,Refund
TKT-1032,I need a subscription for 200 users what are my options,Subscription
TKT-1033,I cancelled but I am still being charged,Subscription
TKT-1034,The export feature is broken nothing downloads,Technical Issue
TKT-1035,I need an official receipt for tax purposes,Billing
TKT-1036,I cannot access the account settings page,Account Access
TKT-1037,My data is not syncing across my devices,Technical Issue
TKT-1038,I keep getting a connection timeout error,Technical Issue
